,Category,Count_Total,Total_views_all,Avg_ratings_all
168,School,723.0,400440442.0,76.86859886201991
169,Sex Toys,2190.0,691724845.0,0.0
170,Shaved,147.0,11005279.0,77.21815363750848
171,Shemale,2.0,266310.0,23.5
172,Shemales,1843.0,606980253.0,0.0
173,Showers,416.0,139333934.0,0.0
174,Skinny,51.0,636480.0,61.08627450980392
175,Small Tits,11565.0,4473097729.0,76.24026649272673
176,Smoking,640.0,83540350.0,76.86661097187412
177,Softcore,581.0,190513610.0,0.0
178,Solo Gay,228.0,1529370.0,69.05933237040604
179,Solo Girl,2149.0,27561253.0,61.514329400694855
180,Solo Male,400.0,3846372.0,62.44875402792696
181,Spanking,460.0,131391827.0,72.66666666666667
182,Spycam,81.0,698209.0,36.55571428571429
183,Squirt,2716.0,1839445580.0,78.71035072687368
184,Squirting,1023.0,327198104.0,77.12753623188406
185,Stockings,2852.0,1065534293.0,53.86111111111111
186,Strapon,603.0,163348147.0,0.0
187,Striptease,2349.0,508486752.0,76.24142762477568
188,Swedish,80.0,24696871.0,0.0
189,Swingers,758.0,366497421.0,0.0
190,Tattoos,35.0,2191594.0,77.08653846153847
191,Teen,30117.0,13529780240.0,76.97280267083006
192,Teens,12504.0,4941555547.0,0.0
193,Thai,183.0,68001777.0,0.0
194,Threesome,12131.0,5225024588.0,75.92025479245807
195,Threesomes,1850.0,619671348.0,0.0
196,Tits,3313.0,1260235636.0,0.0
197,Toys,8620.0,2028141136.0,78.03745628304982
198,Transgender,338.0,3604173.0,63.09971547454243
199,Turkish,543.0,211690242.0,0.0
200,Uniforms,1903.0,751508830.0,76.34381551362684
201,Upskirts,933.0,319426213.0,0.0
202,Vaginal Sex,196.0,6745017.0,66.3854895104895
203,Verified Amateurs,4361.0,1336038660.0,76.5701223555335
204,Vintage,6913.0,2629770980.0,76.90714772316524
205,Virtual Reality,109.0,57314130.0,68.14168746550688
206,Voyeur,2235.0,769664639.0,0.0
207,Wanking,42.0,747939.0,75.87179487179488
208,Webcam,4951.0,1308457030.0,75.9332947899678
209,Webcams,1976.0,609413013.0,0.0
210,Bear,1.0,146340.0,26.333333333333332
211,Cougar,1.0,271882.0,27.333333333333332
212,Cowgirl,2.0,490413.0,56.333333333333336
213,Fake Tits,25.0,2915803.0,55.36549707602339
214,Female Orgasm,13.0,640032.0,56.121212121212125
215,Gym,27.0,1757363.0,53.79824561403509
216,Hunks,4.0,532256.0,55.22222222222223
217,Maid,6.0,185006.0,52.416666666666664
218,Midget,3.0,201866.0,50.5
219,Natural Tits,27.0,1699541.0,55.587878787878786
220,Nurse,4.0,113482.0,39.333333333333336
