,Category,Count_Total,Total_views,Avg_ratings
141,None,59096.0,1208094393.0,80.01003322259136
142,Office,32.0,289205.0,62.0
143,Old+Young,5076.0,160211200.0,
144,Old/Young,876.0,163816670.0,71.734375
145,Oral Sex,495.0,12349.0,70.0
146,Orgy,6530.0,827138580.0,80.122760800843
147,Outdoor,146.0,742004.0,73.0
148,POV,13215.0,3147265198.0,78.03969654199012
149,Pantyhose,12.0,4654.0,26.0
150,Parody,304.0,41268330.0,74.65060240963855
151,Party,1625.0,386656755.0,73.69838945827233
152,Peeing,122.0,1130664.0,70.42105263157895
153,Pissing,732.0,40458760.0,74.76351351351352
154,Pornstar,52658.0,12203190947.0,79.52585131894485
155,Pornstars,4427.0,105099430.0,
156,Pregnant,5.0,46297.0,73.0
157,Public,4858.0,881862092.0,76.20048729550992
158,Public Nudity,3666.0,76970549.0,
159,Pussy Licking,1555.0,430397360.0,74.86075949367088
160,Reality,6742.0,1647470880.0,78.45958727429063
161,Red Head,3915.0,579825130.0,77.9041873669269
162,Redhead,94.0,7061.0,62.0
163,Redheads,1006.0,9576023.0,
164,Rimming,6.0,146340.0,79.0
165,Romantic,55.0,14300.0,39.5
166,Rough Sex,5519.0,1231954080.0,77.98703041144901
167,Russian,2226.0,147612572.0,77.06876790830945
168,School,723.0,191431412.0,77.21052631578948
169,Sex Toys,2190.0,16286446.0,
170,Shaved,147.0,89187.0,79.0
171,Shemale,2.0,266310.0,70.5
172,Shemales,1843.0,533922982.0,
173,Showers,416.0,5138865.0,
174,Skinny,51.0,28397.0,68.0
175,Small Tits,11565.0,2010403033.0,76.18081180811808
176,Smoking,640.0,24779600.0,76.42857142857143
177,Softcore,581.0,8687496.0,
178,Solo Gay,228.0,251588.0,66.5
179,Solo Girl,2149.0,6828871.0,53.99270833333333
180,Solo Male,400.0,1194265.0,58.52
181,Spanking,460.0,10983565.0,84.0
182,Spycam,81.0,1213.0,0.0
183,Squirt,2716.0,603194900.0,79.12988650693569
184,Squirting,1023.0,10273023.0,82.0
185,Stockings,2852.0,22777662.0,33.666666666666664
186,Strapon,603.0,3522401.0,
187,Striptease,2349.0,192388881.0,76.24919093851133
188,Swedish,80.0,2750993.0,
189,Swingers,758.0,8933370.0,
190,Tattoos,35.0,845824.0,80.0
191,Teen,30117.0,4627241275.0,77.46365657602189
192,Teens,12504.0,184953562.0,
193,Thai,183.0,3409019.0,
194,Threesome,12131.0,2350234613.0,76.13847169499917
195,Threesomes,1850.0,5986059.0,
196,Tits,3313.0,16417492.0,
197,Toys,8620.0,505508747.0,77.57882069795427
198,Transgender,338.0,1944238.0,61.37888198757764
199,Turkish,543.0,11628267.0,
200,Uniforms,1903.0,299284510.0,76.39393939393939
201,Upskirts,933.0,31339622.0,
202,Vaginal Sex,196.0,72649.0,73.0
203,Verified Amateurs,4361.0,330399450.0,76.2166921898928
204,Vintage,6913.0,454352614.0,77.19538188277087
205,Virtual Reality,109.0,25475140.0,67.51219512195122
206,Voyeur,2235.0,10843851.0,
207,Wanking,42.0,40983.0,76.0
208,Webcam,4951.0,627107338.0,77.46880650994575
209,Webcams,1976.0,30063968.0,
210,Bear,1.0,,
